Kevin Costello III,6.94,R' L y U' R U' R' U2' R' U R y' U2 R U R' y' U' R U2' R' U2 R U' R' r U R' U R U2' r' U' R2 u' R U' R U R' u R2 y R U' R' U',CFOP,43,6.20,47,6.77,4
Austin Moore,11.15,M' u U F' L U x2 U' M' L F' r' U x U M' U R' U' r' U' M2' U2 R U' R' U R' U R U2' M' U' R' R U R' U R U2' r' U M' U' M2' U' M' U2 M U' M' U2 M U2',Roux,52,n/a,54,n/a,2
Austin Moore,11.18,r D L U x R' F' r' F' U' M2' U R2 U2' r' U' r U2' r M' U' r' U2 r U r' U r' F R F' r U2 R' U' r' F R F' U' M U' M' U M' U2 M' U2 M' U M2' U M U2 M',Roux,54,n/a,55,n/a,1
Austin Moore,11.30,D U l F' U l' U R' U r' U' r U x U M' U R U' R U M U' R U R' U M2' R' U R2 U' M U' M' U' R' U2 R' U' R U' R' U2 R U M U' M' U M U M' M' U2 M' U' M2' U M' U2 M U2' M U2 M' U2 M2',Roux,67,n/a,68,n/a,1
Austin Moore,8.65,x' U2 F' U l' U R r U' x R' U M' U R' U R2' U R2 r' U M' R' U' R U2 R U' r R2' U r R U R' U R U2' R' U M2' U M U2 M U' M2',Roux,45,n/a,47,n/a,2
Austin Moore,10.83,U x' U2 F' U x2 r' U' r R' U x' r' U' R' U' R' r' U' r U' R U L2 l2' U R' U' r U R' U2 f R U R' U' R U R' U' f' U2 M' U2 M' U M U2 M U2' M2',Roux,49,n/a,52,n/a,3
Ravi Fernando,13.80,D R' U' L' z r' U' F U' (z' r) U R U' M U R' U' x l' U' R' U L U R2 U' r' x' R U' R U x R2' U R U' z' U (x' y') (z' y') R2 U2' F R2 F' U2 R' U R' U3' F R U R' U' F' U2' R U R' y' R2 u' R U' R' U R' u R2 U2,CFOP,64,4.64,75,5.43,11
Ravi Fernando,10.88,L U x' U' (y x) D' z' U L' B' y' l U x L' U l F' L R U' R U x' U' R' U z' R U' R' (x' y') U' R' (U z') R' U' R U2' R' U R U F R U R' U' F' U' (R' l') U2 l U2 R U2' R' F R U R' U' R' F R2 U',CFOP,59,5.42,70,6.43,11
Ravi Fernando,10.97,u l u' x U2 l R z' U R U' R' F' R' F R' U R U' R' U R U' U' R U R' z' R' U' R z R' U' R2 U R' U' R U z' U l' U l U l' U' l F U' F' U R' U2 R U2' R' F R U R' U' R' F' R2 U2',CFOP,62,5.65,67,6.11,5
Ravi Fernando,8.40,r' F U R U (x y' x) U R U' R' F' R' F U' R' U R2 U' R' U x' R' U' R2 U R U R U2' R U z' U l' U2 L U L' U l U y' R' U R' U' R' U' R' U R U R2,CFOP,49,5.83,55,6.55,6
Ravi Fernando,10.05,L R U' y' R2 U' R U R' U' R U R' U R' U' R U R' U' x2' R U' R' U R' U' R U R U R' U' x' R2 U' R' U z' U M U M' U2 M U M' y' U R' U' R U' R U R U' R' U R U R2 U' R' U,CFOP,60,5.97,65,6.47,5
Anthony Brooks,10.13,U2 R' r F' U' l x' y' U2 R U' R' U2 y R U2' R' U R U' R' y R U' R' U R' U' R R U R' U' y L' U L x R' U R U' R' U R U' x' R U R' U' R U R' R2' U' R' U' R U R U R U' R,CFOP,58,5.73,65,6.42,7
Anthony Brooks,10.00,L2' R2 D' R' y U2' R U R' y U' R U' R' U y L' U L U' R U' R' U2 R' U' R U' R' U R U' R U R' U R' F R F' U R U R' y R' F R U' R' F' R U' R2 u R' U R' U' R u' R2 y' R' U R U',CFOP,62,6.20,67,6.70,5
Anthony Brooks,12.34,F D R' D R' U R' F D' U R U' R' U2 L' U' L U R' U R U' y L' U L U2' R U' R' U' y L' U' L U' L' U L U2' F' U F U R U' R' R' F' r U' r' F r U' r' F2 R U R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U',CFOP,73,5.92,75,6.08,2
Anthony Brooks,11.33,L2' D' R2' F2 y U2' R U' R' U y U2 L U' L' R U' R2' U' R y' R U' R' d' L' U' L y' R' U' R U' F R U R' U' R F' r U R' U' r' U2' x' R2 D2 R' U' R D2 R' U l' U,CFOP,52,4.59,57,5.03,5
Anthony Brooks,8.94,R' F D' R' L' D2' y U' L U L' U' L' U L y' U L U' L' U R' U R U' R' U' R U2 R U R' U' R U R' U2 F R U R' U' F' U2 F' U' F R2 u R' U R U' R u' R2',CFOP,54,6.04,56,6.26,2
Feliks Zemdegs,4.79,R d R' F2 U R2 y' U' R' U R U' R' U' R y' R U' R' U' F U' F' U R U R' U2' R U R' U r U R' U R U2' r' U2',CFOP,38,7.93,40,8.35,2
Anthony Brooks,9.16,D L U D' F R' D U' U y L' U L U2 L U L' U' R U R' U y L' U' L R U R' L U L' y' U' U' R' U R U' R U R' U R U' U' R' U U' l U' R D D R' U R D D R2,CFOP,57,6.22,60,6.55,3
